uid,radius_of_gyration
326,11.649222499684019
327,2.9580082948906536
328,4.133422663688673
329,6.896412832821714
330,1.8546591357709885
331,10.771756166764746
332,9.214972733029457
333,2.365617816306388
334,6.128218696346372
335,5.4523886345809425
336,7.700532351860183
337,9.734421735822165
338,3.446253972136544
339,2.891533905726584
340,5.271291545770448
341,4.32931727717083
342,2.8667385648620773
343,9.000471750483445
344,6.406786008476765
345,5.769223460511847
346,11.936009594239087
347,7.24113305005895
348,4.89393829673533
349,6.969835373415511
350,8.703150139160753
351,7.242174164794848
352,3.4388628801142005
353,3.5800625794099754
354,9.079601356620609
355,12.293444024154931
356,4.544738031608479
357,7.492245890623832
358,4.516264425566914
359,6.38965665110438
360,3.1242717234088127
361,5.154481034633706
362,2.734641655857527
363,3.226408305600134
364,6.874866887315439
365,3.484117177751814
366,8.918020573692006
367,5.116493656404921
368,3.474123026295596
369,3.604482980684272
370,4.241602088386597
371,3.6335487311290966
372,2.5719096045355805
373,4.262246660316294
374,3.2510501653836013
375,3.32500705908192
376,4.174489550986216
377,4.592931828543539
378,8.839809367129718
379,9.266008734739097
380,3.437340783405519
381,4.802692095109941
382,3.947691951093877
383,6.0582925270517825
384,3.64104944561444
385,10.777730550961435
386,5.894776584947558
387,9.939186482398883
388,4.282013916042826
389,3.6304192422760835
390,4.670173291715698
391,8.514276657412767
392,4.642172340819881
393,2.7626713412220725
394,11.621999041435627
395,3.413887321215141
396,3.957187232333803
397,7.00723180043072
398,8.60406024784564
399,3.9273548611200635
400,2.8940759003451086
401,5.500535097371666
402,4.588747773445549
403,7.108805918045453
404,5.812102794924014
405,4.635406552253528
406,4.654353893436323
407,5.581705353901149
408,7.551095648603605
409,3.747472127908272
410,2.352311773636137
411,5.273168798177977
412,4.562821449689915
413,6.142939119858024
414,6.212192365300622
415,4.37839548184283
416,4.483206642170217
417,4.867721320153402
418,9.254403690702489
419,5.834334726406038
420,5.743723023866665
421,4.2668708426717945
422,2.661781467970204
423,2.6722990481864954
424,5.075114911757976
425,3.269938297446411
426,7.206804640856947
427,4.427894311487608
428,5.984874304374839
429,10.363452177499022
430,6.3307752470260645
431,4.170404068253699
432,6.354565186642497
433,4.979217274459661
434,10.839547973181894
435,4.788230884369884
436,4.990319978592733
437,5.088844463538791
438,3.563482842939406
439,2.7727989623146883
440,3.9553727741039424
441,6.96783318267288
442,5.262921177948241
443,12.533277228224287
444,4.691558246809958
445,5.616144394731745
446,6.514328131437573
447,8.282619595948784
